dauer;status;beginn.monat;female;male;alter;bild
4;1;57;1;0;50;3
15;0;78;1;0;31;2
1;1;63;1;0;25;2
5;0;100;0;1;37;2
4;1;46;1;0;45;1
5;0;120;0;1;26;2
4;1;36;0;1;42;1
7;0;6;0;1;48;2
4;0;118;1;0;54;2
19;1;92;1;0;48;2
5;0;120;0;1;48;2
25;0;37;1;0;58;2
12;1;53;1;0;46;2
8;1;111;1;0;51;2
3;1;100;0;1;26;2
2;1;91;0;1;38;2
4;1;102;1;0;34;2
1;1;120;0;1;64;1
5;1;120;0;1;48;2
4;1;119;0;1;41;2
1;1;10;0;1;52;2
9;1;57;0;1;28;2
2;1;97;0;1;26;2
1;1;122;0;1;50;2
25;0;13;0;1;58;2
3;1;64;0;1;39;1
4;1;108;0;1;46;1
27;0;82;0;1;34;2
36;0;3;1;0;40;2
5;1;94;0;1;58;1
3;1;82;0;1;39;2
29;0;40;1;0;38;2
1;1;72;0;1;48;1
14;0;111;0;1;53;2
6;1;45;0;1;33;1
4;1;115;1;0;33;1
36;0;91;0;1;54;2
4;1;109;0;1;30;1
8;1;90;1;0;37;1
3;0;66;0;1;38;2
36;0;25;1;0;41;2
4;0;121;0;1;48;2
35;0;46;1;0;57;2
3;1;73;0;1;39;2
4;1;52;0;1;33;2
4;1;121;0;1;46;1
4;1;111;0;1;31;2
1;0;124;1;0;57;2
2;1;71;0;1;36;1
17;1;71;0;1;54;2
1;0;24;0;1;64;1
12;0;26;0;1;59;1
7;1;87;1;0;38;2
8;1;91;1;0;25;2
28;1;66;0;1;51;2
4;0;59;0;1;58;1
16;0;77;0;1;60;2
1;0;19;0;1;26;2
1;1;49;0;1;35;3
13;1;46;1;0;56;2
4;1;29;0;1;50;1
1;1;25;0;1;42;2
11;1;97;1;0;43;1
3;1;37;0;1;26;3
13;0;112;1;0;52;2
1;1;14;0;1;55;2
36;0;66;0;1;31;2
1;1;25;1;0;31;1
24;1;16;0;1;41;2
12;0;51;1;0;26;2
3;1;81;0;1;28;2
6;1;74;1;0;53;3
34;0;29;0;1;59;3
6;1;15;1;0;28;3
33;0;88;1;0;56;2
36;0;23;0;1;54;2
2;1;68;1;0;37;2
3;1;55;1;0;29;1
1;1;10;1;0;42;2
3;0;35;0;1;59;2
4;1;69;1;0;29;1
8;0;5;1;0;39;2
36;0;89;0;1;56;2
3;1;44;1;0;43;2
5;1;57;1;0;55;2
26;1;83;1;0;34;3
1;0;124;0;1;38;2
5;1;106;1;0;27;2
3;0;61;0;1;29;2
3;1;112;1;0;45;1
11;1;82;0;1;54;1
2;1;61;0;1;33;2
8;1;28;0;1;36;2
1;1;33;0;1;25;2
22;1;94;1;0;48;2
4;1;84;0;1;30;3
34;0;18;1;0;57;3
1;1;12;0;1;57;1
18;0;91;1;0;43;2
2;1;64;0;1;32;2
4;1;20;0;1;25;2
10;0;100;1;0;44;2
4;0;88;1;0;30;2
11;1;89;0;1;37;1
20;1;83;0;1;37;2
3;1;12;0;1;34;2
4;1;120;0;1;54;2
18;1;105;1;0;38;1
9;1;100;0;1;35;3
3;1;73;0;1;32;3
15;0;110;0;1;32;3
8;0;117;0;1;61;2
2;1;39;0;1;30;2
27;0;71;0;1;40;3
12;1;53;1;0;40;2
4;1;105;0;1;25;2
3;1;120;1;0;47;2
2;1;90;0;1;29;1
11;0;74;0;1;60;2
4;1;120;0;1;46;1
2;1;106;1;0;35;1
8;1;29;1;0;37;1
12;0;1;0;1;48;2
3;1;35;0;1;31;2
31;0;61;0;1;59;2
5;1;49;1;0;30;2
3;1;78;1;0;30;2
4;1;74;1;0;25;2
30;0;70;0;1;58;2
4;1;93;1;0;27;1
2;1;49;0;1;26;2
13;1;33;1;0;40;2
36;0;28;1;0;27;3
36;0;22;0;1;53;1
